post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
3167909003264491,118,9,,1,,,
3170189409703117,2&nbsp,mil,274,,22,,
3167897749932283,166,15,,,,,
3167742193281172,278,33,,1,,,
3165377426850982,236,25,,1,,,
3165367240185334,137,10,,1,,,
3165313020190756,186,19,,3,,,
3164737853581606,73,11,,,,1,
3164940273561364,54,8,,,,,
3157138281008230,221,12,,1,,,
3142146955840696,184,17,,,,,
3156686967720028,115,5,,,,,
3156680287720696,91,2,,2,,,
3156671687721556,256,16,,1,,,
3156666754388716,46,2,,,,,
3159139407474784,109,2,,1,,,
3156674994387892,129,8,,,,,
3156869794368412,175,21,,3,,,
3157132084342183,,,,,,,
3156655547723170,240,21,,1,,,
3155871477801577,36,1,,,,,
3142143835841008,123,8,,1,,,
3139037526151639,226,13,,2,,,
3148824081839650,32,,,,,,
3148819875173404,"1,7&nbsp;mil",55,,,,27,
3148708018517923,83,9,,,,,
3151318594923532,2,1,,,,,
3145718642150194,59,1,,,,,
3142140825841309,74,5,,,,,
3148625481859510,66,10,,,,,
3138994202822638,113,3,,,,,
3147691078619617,57,3,,,,,
3145676288821096,123,7,,,,,
3139040816151310,15,7,,,,,
3145503872171671,128,1,,,,,
3139032539485471,208,14,,,,,
3145495828839142,94,6,,,,,
3139027529485972,38,10,,,,,
3139003592821699,159,5,,,,,
3142678319120893,109,2,,,,,
3141706499218075,195,16,,3,,,
3138986589490066,28,1,,,,,
3138982229490502,223,16,,,,1,
3138473999541325,155,10,,1,,,
3138460929542632,124,3,,,,1,
3138394772882581,43,1,,,,,
3135677296487662,61,1,,,,,
3135624969826228,102,3,,,,4,
3124635384258520,116,4,,,3,,
3124623497593042,"1,9&nbsp;mil",132,,,,9,
3124560897599302,418,17,,3,,,
3124603917595000,131,8,,,,,
3128390367216355,55,3,,,,,
3128384873883571,85,2,,,,,
3124533084268750,62,4,,,1,,
3124517570936968,114,7,,,,1,
3121826751206050,53,5,,,,,
3127958257259566,144,8,,,,,
3121663574555701,27,,,,,,
3108448825877176,373,38,,,,2,
3108482062540519,349,32,,,,4,
3108455735876485,151,15,,1,,,
3108471932541532,58,1,,,,1,
3108463539209038,127,6,,,,,
3108443069211085,85,,,,,,
3108437065878352,"1,3&nbsp;mil",59,,7,,,
3097634420291950,324,21,,,,1,
3108430965878962,340,33,,,,4,
3108421782546547,423,16,,,,6,
3116212928434099,290,26,,2,,,
3126870727368319,120,9,,,,,
3108396975882361,126,12,,,,2,
3087501951305197,155,9,,1,,,
3108379625884096,109,2,,,,,
3097630100292382,122,9,,1,,,
3108340905887968,163,9,,,,,
3108366349218757,305,15,,1,,,
3108354112553314,271,25,,,,,
3107777209277671,467,55,,,,1,
3107499509305441,193,19,,,,1,
3085024318219627,185,7,,,,,
3107784252610300,16,2,,,,,
3087497221305670,138,5,,,,,
3087491807972878,61,2,,,,,
3097624460292946,161,14,,,,,
3087487377973321,177,18,,1,,,
3087465627975496,16,2,,,,,
3104337062955019,99,8,,,,,
3087454907976568,117,8,,,,1,
3087389674649758,33,2,,,,,
3087345121320880,"6,9&nbsp;mil",803,,,,53,
3097616466960412,227,26,,1,,,
3087329147989144,132,15,,,,,
3087281941327198,128,5,,,,,
3087318454656880,167,10,,1,,,
3087302197991839,44,1,,,,,
3087254604663265,23,,,,,,
3087238501331542,248,28,,,,,
3087222364666489,26,2,,,,,
3087211104667615,18,2,,,,,
3085123074876418,51,,,,,,
3085118028210256,310,22,,1,,,
3084989218223137,66,2,,,,,
3084982261557166,26,2,,,,,
3084352978286761,37,,,,,,
3084243361631056,349,42,,,,,
3082262308495828,32,,,,,,
3076699042385488,172,14,,1,,,
3064791336909592,225,33,,2,,,
3064459473609445,119,5,,,,,
3075832252472167,17,1,,,,,
3064465486942177,280,32,,,,,
3064453110276748,89,5,,1,,,
3064597126929013,676,65,,7,,,
3068559293199463,115,11,,,,,
3064480623607330,257,26,,,,9,
3068540119868047,92,5,,,1,,
3067562363299156,184,9,,2,,,
3065989023456490,82,8,,1,,,
3064440913611301,58,4,,,,,
3064423206946405,43,1,,,,,
3059465244108868,66,16,,,,,
3042964789092247,290,27,,,,,
3049062355149157,361,37,,2,,,
3042427042479355,174,7,,,,,
3049055445149848,49,4,,,,,
3049046581817401,26,2,,,,,
3042947402427319,56,5,,,,1,
3042424889146237,328,21,,,,,
3042941289094597,303,34,,,,,
3049026318486094,54,,,,,,
3048097398578986,157,15,,,,,
3042905435764849,45,,,,2,,
3042894719099254,30,3,,,,,
3042887965766596,286,21,,,,,
3042870532435006,47,5,,,,,
3042414212480638,166,21,,3,,,
3039711486084244,617,90,,,,,
3027516957303697,48,5,,,,,
3026888784033181,133,11,,,,,
3027522457303147,135,13,,,,,
3026922104029849,23,1,,,,,
3026895114032548,63,5,,1,,,
3026847530703973,39,5,,,,1,
3026841900704536,39,,,,,,
3026819307373462,21,4,,2,,,
3027490067306386,127,17,,,,,
3025943027461090,23,2,,,,,
3025923807463012,135,11,,1,,,
3025730894148970,77,11,,,,,
3024102210978505,50,2,,,,,
3021318137923579,54,5,,,,,
3020579327997460,91,7,,,,,
3000681963320530,190,19,,,,2,
3000620353326691,40,4,,1,,,
3000607056661354,49,3,,,,,
3000595533329173,"4,5&nbsp;mil",1&nbsp,mil,,,,267
3005790499476343,55,,,,,,
3000564666665593,303,37,,5,,,
3005317166190343,181,27,,,,3,
3000530766668983,56,2,,,,,
3000498460005547,228,30,,,,,
3000470196675040,42,1,,,,,
3000434140011979,105,7,,,,,
2987169901338403,82,6,,,,,
3000128646709195,204,24,,5,,,
2990188511036542,356,37,,1,,,
2990087497713310,143,8,,1,,,
2990076747714385,499,61,,3,,,
2990064521048941,246,27,,1,,,
2990027161052677,479,59,,,,5,
2989954307726629,920,59,,,,11,
2989771457744914,27,1,,,,,
2989931284395598,91,8,,,,,
2989523471103046,63,5,,1,,,
2989326297789430,71,6,,1,,,
2989294854459241,177,22,,2,,,
2986794388042621,388,57,,3,,,
2984618711593522,130,16,,,,,
2984726868249373,76,10,,2,,,
2984279181627475,340,41,,3,,,
2983860648335995,183,10,,3,,,
2981933745195352,33,2,,,,,
2981585208563539,191,27,,,,2,
2981083431947050,55,14,,,,,
2974485012606892,225,28,,2,,,
2974387979283262,149,10,,,,,
2974415039280556,20,2,,,,,
2974391785949548,186,18,,,5,,
2974086989313361,43,8,,,,,
2974355465953180,198,17,,6,,,
2974036702651723,29,,,,,,
2974009032654490,60,6,,2,,,
2971670679554992,55,8,,,,,
2971825502872843,36,1,,,,,
2957969124258481,61,6,,,,,
2969483109773749,59,1,,,,,
2955984794456914,34,,,,,,
2955923427796384,198,12,,1,,,
2879311158790945,96,11,,2,,,
2955902804465113,329,37,,2,,,
2955886124466781,56,6,,,,,
2955879701134090,203,55,,,,43,
2955552321166828,54,6,,,,,
2955730601149000,90,22,,2,,,
2957335060988554,59,9,,1,,,
2955412441180816,135,15,,,,,
2949827591739301,165,13,,1,,,
2949547518433975,108,8,,,,1,
2949564305098963,25,6,,,,,
2949541285101265,91,4,,,1,,
2948522348536492,92,13,,2,,,
2947538671968193,102,11,,3,,,
2922180831170644,174,27,,1,,,
2930197757035618,"1,6&nbsp;mil",152,,,,51,
2930556720333055,633,86,,4,,,
2930700600318667,406,60,,,,,
2938680756187318,80,5,,,,,
2939076249481102,110,13,,3,,,
2936037513118309,25,7,,,,,
2930501150338612,336,32,,,,,
2935710283151032,68,14,,,,,
2922176151171112,171,34,,,1,,
2930495920339135,60,2,,,,1,
