post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
3303026163061750,7.0,1.0,,,,,
3303018369729196,7.0,,,,,,
3303013909729642,4.0,,,,,,
3300740233290343,8.0,,,,,,
3300762696621430,,,,,,,
3300760426621657,1.0,,,,,,
3300737043290662,4.0,,,,,,
3299692253395141,9.0,,,,,,
3299684566729243,5.0,,,,,,
3299670610063972,9.0,2.0,,,,,
3293823940648639,,,,,,,
3289134047784295,18.0,1.0,,,,,
3290923594272007,49.0,8.0,,,,,
3286377648059935,28.0,,,,,,
3286373854726981,39.0,2.0,,,,,
3286371684727198,27.0,,,,,,
3286367664727600,82.0,12.0,,1.0,,,
3276462169051483,38.0,3.0,,1.0,,,
3276457549051945,42.0,2.0,,,,,
3276426409055059,29.0,2.0,,,,,
3276423359055364,45.0,3.0,,1.0,,,
3276417005722666,32.0,1.0,,,,,
3276413065723060,23.0,2.0,,,,,
3276408322390201,39.0,,,1.0,,,
3276168152414218,56.0,6.0,,,,,
3276081855756181,72.0,7.0,,,,,
3276077379089962,96.0,17.0,,1.0,,,
3275650309132669,35.0,2.0,,,,,
3267104563320577,40.0,2.0,,,,,
3267114639986236,49.0,3.0,,1.0,,,
3267098436654523,104.0,10.0,,,1.0,,
3267018229995877,25.0,3.0,,,,,
3266557536708613,51.0,5.0,,,,,
3265092603521773,33.0,2.0,,,,,
3263982140299486,131.0,23.0,,,,,
3256957247668642,7.0,,,,,,
3256954954335538,80.0,12.0,,,,,
3253606531337047,109.0,21.0,,,,,
3253597664671267,57.0,5.0,,,,,
3253587824672251,134.0,20.0,,,,,
3253579704673063,15.0,1.0,,,,,
3253575034673530,83.0,12.0,,,,,
3253568028007564,22.0,1.0,,,,,
3251715738192793,78.0,9.0,,,,,
3251203424910691,52.0,6.0,,,,,
3243344775696556,53.0,5.0,,1.0,,,
3243559679008399,74.0,11.0,,,,,
3243340012363699,130.0,17.0,,,,,
3243197405711293,68.0,3.0,,,,,
3238194992878201,129.0,21.0,,,,,
3238187892878911,65.0,1.0,,,,,
3238154679548899,81.0,8.0,,,,,
3236295833068117,51.0,7.0,,2.0,,,
3238118926219141,31.0,2.0,,1.0,,,
3238107879553579,196.0,26.0,,6.0,,,
3238094412888259,56.0,9.0,,,,,
3236316993066001,67.0,7.0,,,,,
3236265006404533,65.0,6.0,,,,,
3231217343575966,77.0,8.0,,,,,
3231214070242960,46.0,1.0,,,,,
3233312350033132,,,,,,,
3231158046915229,105.0,13.0,,,,,
3231129773584723,78.0,4.0,,,,,
3231123316918702,40.0,4.0,,1.0,,,
3231115173586183,60.0,7.0,,,,,
3231067026924331,78.0,9.0,,,,,
3227370577293976,70.0,1.0,,1.0,,,
3227376630626704,17.0,,,,,,
3223912447639789,42.0,5.0,,1.0,,,
3223910324306668,59.0,2.0,,,,,
3223906694307031,58.0,5.0,,1.0,,,
3223885237642510,70.0,13.0,,,,,
3223879680976399,67.0,6.0,,1.0,,,
3221989714498729,49.0,2.0,,2.0,,,
3221985094499191,81.0,17.0,,,,,
3221926527838381,85.0,9.0,,,,,
3221504214547279,135.0,21.0,,,,,
3221492554548445,45.0,2.0,,,,,
3217958584901842,69.0,9.0,,,,,
3217952494902451,36.0,2.0,,,,,
3216937751670592,92.0,9.0,,,,,
3216669108364123,37.0,5.0,,,,,
3216619598369074,105.0,18.0,,1.0,,,
3216818238349210,30.0,2.0,,1.0,,,
3216596411704726,69.0,7.0,,1.0,,,
3211290098902024,20.0,2.0,,,,,
3211286402235727,55.0,5.0,,,,,
3211268618904172,20.0,2.0,,,,,
3211256202238747,22.0,1.0,,,,,
3211253485572352,56.0,4.0,,,,,
3211148855582815,79.0,10.0,,,,,
3205971112767256,65.0,3.0,,,,1.0,
3205929462771421,43.0,,,,,,
3205915429439491,193.0,28.0,,1.0,,,
3201624943201873,43.0,1.0,,,,,
3201617959869238,135.0,22.0,,,,,
3201599233204444,56.0,2.0,,1.0,,,
3201585856539115,49.0,2.0,,1.0,,,
3201563909874643,30.0,1.0,,,,,
3201538456543855,40.0,3.0,,1.0,,,
3195424737155227,46.0,5.0,,,,,
3195418100489224,34.0,,,1.0,,,
3194390207258680,37.0,4.0,,,,,
3189874647710236,9.0,,,,,,
3189826044381763,12.0,,,,,,
3187289754635392,19.0,2.0,,2.0,,,
3187040137993687,58.0,6.0,,,,,
3186598908037810,76.0,12.0,,3.0,,,
3184675398230161,24.0,3.0,,1.0,,,
3184651924899175,38.0,2.0,,,,,
3184261841604850,20.0,,,,,,
3167501026614265,49.0,1.0,,2.0,,,
3167496426614725,82.0,5.0,,2.0,,,
3167484969949204,79.0,10.0,,1.0,,,
3167476063283428,119.0,14.0,,2.0,,,
3167470426617325,192.0,28.0,,1.0,,,
3167466889951012,277.0,52.0,,18.0,,,
3160088367355531,211.0,24.0,,,,2.0,
3159713017393066,164.0,35.0,,,,1.0,
3159632450734456,516.0,94.0,,,,2.0,
3158199640877737,264.0,47.0,,,,2.0,
3158191994211835,21.0,3.0,,,,,
3158095974221437,178.0,28.0,,,,,
3155827707781597,637.0,145.0,,,,,
3147607835270251,29.0,3.0,,,,,
3155833467781021,11.0,,,,,,
3155727294458305,529.0,95.0,,,,1.0,
3155685641129137,389.0,76.0,,,,,
3155392684491766,22.0,,,,,,
3155359144495120,,,,,,,
3147601988604169,53.0,3.0,,,1.0,,
3154770294554005,29.0,3.0,,,,,
3154749497889418,45.0,1.0,,,,,
3154681107896257,16.0,,,,,,
3147589318605436,104.0,15.0,,,,,
3147570078607360,95.0,11.0,,,,,
3147560481941653,20.0,2.0,,,,,
3147556448608723,97.0,13.0,,,,,1.0
3147535518610816,41.0,2.0,,,,,
3147509391946762,36.0,,,,,,
3147505555280479,26.0,,,,,,
3147493808614987,24.0,2.0,,,,,
3147474941950207,23.0,,,,,,
3147463665284668,71.0,7.0,,,,,
3142386365792398,32.0,1.0,,,,,
3142380795792955,19.0,4.0,,,,,
3142365205794514,46.0,,,,,,
3142355609128807,28.0,5.0,,,,,
3142343709129997,47.0,5.0,,,,,
3142336179130750,38.0,7.0,,,,,
3140188749345493,62.0,2.0,,,,,
3140186102679091,77.0,17.0,,,,,
3140180069346361,55.0,4.0,,,,,
3135275639836804,41.0,2.0,,,,,
3135265453171156,107.0,22.0,,,,,
3135260329838335,97.0,18.0,,,,,
3135247383172963,55.0,7.0,,,,,
3135232566507778,18.0,2.0,,,,,
3135227696508265,86.0,21.0,,,,,
3132892403408461,15.0,1.0,,,,,
3132638306767204,29.0,4.0,,,,,
3129657273731974,16.0,3.0,,,,,
3104279969603038,15.0,2.0,,,,,
3104276906270011,12.0,,,,,,
3104254509605584,27.0,7.0,,,,,
3104248216272880,51.0,9.0,,,,,
3104243609606674,27.0,4.0,,,,,
3104238309607204,64.0,15.0,,,,,
3086376918060010,15.0,1.0,,,,,
3104234439607591,22.0,2.0,,,,,
3086373494727019,45.0,4.0,,,,,
3086358061395229,13.0,,,,,,
3086355004728868,23.0,1.0,,,,,
3086346854729683,16.0,3.0,,,,,
3086338858063816,37.0,10.0,,,,,
3090837624280606,18.0,,,,,,
3086335474730821,23.0,2.0,,,,,
3081492071881828,38.0,6.0,,,,,
3081478975216471,9.0,1.0,,,,,
3081462765218092,22.0,2.0,,,,,
3081423851888650,27.0,3.0,,,,,
3062565803774455,72.0,16.0,,,,,
3062562617108107,35.0,6.0,,,,,
3062559597108409,69.0,6.0,,,,,
3062556180442084,52.0,2.0,,,,,
3061860613844974,43.0,4.0,,,,,
3061856070512095,20.0,3.0,,,,,
3061793447185024,38.0,7.0,,,,,
3064462320251470,11.0,2.0,,,,,
3064455310252171,6.0,,,,,,
3064802970217405,13.0,2.0,,,,,
3064452866919082,18.0,1.0,,,,,
3064796206884748,82.0,12.0,,,,,
3061734253857610,46.0,4.0,,,,,
3064447190252983,32.0,5.0,,,,,
3061713737192995,75.0,8.0,,,,,
3061545873876448,46.0,3.0,,,,,
3061532350544467,67.0,11.0,,,,,
3059279367436432,,,,,,,
3057591404271895,47.0,,,,,,
3057579737606395,103.0,11.0,,,,,
3050253711672331,68.0,14.0,,,,,
3050261395004896,48.0,,,,,,
3050242771673425,69.0,1.0,,,,,
3050232148341154,17.0,1.0,,,,,
3050128931684809,19.0,1.0,,,,,
3049785461719156,19.0,3.0,,,,,
3049783955052640,55.0,5.0,,,,,
3048443681853334,46.0,5.0,,,,,
3048435151854187,40.0,5.0,,,,,
3041176232580079,85.0,3.0,,,,,
3040872339277135,53.0,7.0,,,,,
3040871809277188,,,,,,,
3034710436559992,37.0,2.0,,,,,
3034655033232199,,,,,,,
3034654663232236,,,,,,,
3030507833646919,78.0,6.0,,,,,
3027869537244082,148.0,19.0,,,,,
3026636704034032,,,,,,,
3026457450718624,,,,,,,
3016500398380996,59.0,7.0,,,,,
3012305188800517,,,,,,,
3010581502306219,,,,,,,
3003421039688932,25.0,2.0,,,,,
3001411593223210,,,,,,,
3001167249914311,,,,,,,
2997855030245533,,,,,,,
2970002806364089,86.0,4.0,,,,1.0,
2969989469698756,30.0,8.0,,,,,
2980972655267104,55.0,5.0,,,,,
2969904983040538,25.0,,,,,,
2969909853040051,20.0,,,,,,
2969862616378108,21.0,1.0,,,,,
2969856686378701,19.0,,,,,,
2969840759713627,48.0,3.0,,,,,
2969550506409319,,,,,,,
2967932376571132,16.0,,,,,,
2948691631828540,,,,,,,
2948683285162708,,,,,,,
2945434682154235,,,,,,,
2942418825789154,,,,,,,
2921943577836679,28.0,5.0,,,,,
