,1gram,Freq,Group,Satisfaction,id
0,gracias,45,Soporte OFFCORSS,good,sop
1,excelente,45,Soporte OFFCORSS,good,sop
2,bueno,40,Soporte OFFCORSS,good,sop
3,servicio,36,Soporte OFFCORSS,good,sop
4,atención,28,Soporte OFFCORSS,good,sop
5,pedido,57,Soporte OFFCORSS,bad,sop
6,respuesta,28,Soporte OFFCORSS,bad,sop
7,devolución,23,Soporte OFFCORSS,bad,sop
8,ustedes,22,Soporte OFFCORSS,bad,sop
9,compra,20,Soporte OFFCORSS,bad,sop
10,excelente,77,Call Center,good,cc
11,servicio,63,Call Center,good,cc
12,gracias,51,Call Center,good,cc
13,atención,37,Call Center,good,cc
14,bueno,36,Call Center,good,cc
15,respuesta,45,Call Center,bad,cc
16,pedido,31,Call Center,bad,cc
17,servicio,27,Call Center,bad,cc
18,cliente,22,Call Center,bad,cc
19,devolución,22,Call Center,bad,cc
20,excelente,31,Tienda Virtual,good,tvir
21,gracias,31,Tienda Virtual,good,tvir
22,servicio,26,Tienda Virtual,good,tvir
23,atención,23,Tienda Virtual,good,tvir
24,bueno,18,Tienda Virtual,good,tvir
25,pedido,34,Tienda Virtual,bad,tvir
26,correo,26,Tienda Virtual,bad,tvir
27,servicio,24,Tienda Virtual,bad,tvir
28,nunca,21,Tienda Virtual,bad,tvir
29,cliente,21,Tienda Virtual,bad,tvir
30,excelente,26,Venta Directa,good,vdir
31,bueno,19,Venta Directa,good,vdir
32,buena,13,Venta Directa,good,vdir
33,gracias,10,Venta Directa,good,vdir
34,servicio,10,Venta Directa,good,vdir
35,julio,3,Venta Directa,bad,vdir
36,respuesta,3,Venta Directa,bad,vdir
37,gracias,3,Venta Directa,bad,vdir
38,personas,3,Venta Directa,bad,vdir
39,demorado,2,Venta Directa,bad,vdir
