post_id,brand_username,total_reactions,total_comments
2039534821903913637,offcorss,198,2
2039610090601637576,offcorss,338,0
2040035253474397240,offcorss,194,0
2040180829922874925,offcorss,255,1
2040314233511322125,offcorss,226,1
2040754147733482863,offcorss,194,0
2040874871580110772,offcorss,215,0
2041026059370412879,offcorss,280,0
2041485581579339052,offcorss,429,0
2041628883934861463,offcorss,860,6
2041761825822853858,offcorss,658,1
2042189844370650368,offcorss,416,3
2042359946449669750,offcorss,318,0
2042495606221260207,offcorss,399,4
2042945632961739686,offcorss,599,8
2043049272735286989,offcorss,376,0
2043200223991749531,offcorss,1382,36
2043724387454955945,offcorss,771,10
2043906267559093353,offcorss,376,0
2043940116155659038,offcorss,170,1
2044364855301663911,offcorss,466,2
2044498740966712585,offcorss,173,0
2044657464712730317,offcorss,389,3
2045102737226439189,offcorss,236,0
2045248181612551063,offcorss,246,1
2045387897737396461,offcorss,351,0
2045832378769661062,offcorss,179,1
2045951849861589812,offcorss,149,0
2046112590455474955,offcorss,420,7
2046567564872273904,offcorss,206,0
2046691276246751220,offcorss,344,9
2046844967398056135,offcorss,279,0
2047321679700738031,offcorss,245,0
2047429284754136684,offcorss,139,1
2047566042000434670,offcorss,181,1
2048020807011864112,offcorss,233,0
2048131020134284045,offcorss,405,2
2048304100244528773,offcorss,206,0
2048705688016546366,offcorss,225,1
2048861066603170358,offcorss,307,28
2049008707480394100,offcorss,232,2
2049462872765769566,offcorss,433,1
2049573568216201051,offcorss,192,0
2049723184265162982,offcorss,176,0
2050163389976471302,offcorss,206,0
2050296262003947425,offcorss,308,3
2050457741533627215,offcorss,156,1
2050908013481229719,offcorss,191,0
2051031845860846408,offcorss,356,5
2051184490634529039,offcorss,164,0
2051667404040174493,offcorss,326,2
2051835505763274670,offcorss,167,0
2051924360608812980,offcorss,242,0
2052528586498238732,offcorss,136,0
2052593435504598614,offcorss,226,0
2052660754604093640,offcorss,352,9
2053095986557827052,offcorss,758,30
2053224460001942054,offcorss,589,10
2053354371765135035,offcorss,319,2
2053832721315048642,offcorss,343,3
2053931148174566157,offcorss,1504,12
2054093487720918157,offcorss,337,3
2054586389324712242,offcorss,993,10
2054677997093137491,offcorss,235,1
2054800469662663969,offcorss,530,2
2055250635100426760,offcorss,181,2
2055383128080141285,offcorss,169,0
2055596483726341129,offcorss,286,2
2055975614834041920,offcorss,762,6
2056170322059551568,offcorss,282,0
2056264267221419392,offcorss,379,7
2056685190265004987,offcorss,232,0
2056819883341789336,offcorss,270,0
2056959445569564140,offcorss,221,0
2057427078899279654,offcorss,216,1
2057547369759526542,offcorss,478,6
2057695716814800341,offcorss,225,0
2058184347458754223,offcorss,1674,6
2058254395163204092,offcorss,247,2
2058427703736885785,offcorss,2860,27
2058925834027034117,offcorss,174,0
2059024541351736568,offcorss,305,11
2059145257966284708,offcorss,272,5
2059645887450139149,offcorss,203,6
2059763996877971431,offcorss,509,6
2059889654954257482,offcorss,204,0
2060358333982786518,offcorss,1192,31
2060474073074864651,offcorss,287,3
2060594806921164861,offcorss,719,6
2061047875839966456,offcorss,654,6
2061168598605293863,offcorss,258,1
2061342973178644245,offcorss,741,14
2061774025046989713,offcorss,406,6
2061924477348803140,offcorss,319,2
2062061842256100002,offcorss,245,0
2062550436091464960,offcorss,487,4
2062676367611242068,offcorss,990,21
2062807673854681463,offcorss,257,0
2063252333102709426,offcorss,257,2
2063385448718133481,offcorss,307,11
2063493907002400043,offcorss,245,1
2064703406828674039,offcorss,176,0
2064823576968506418,offcorss,156,0
2064949148734393915,offcorss,338,6
2065458857190921991,offcorss,193,2
2065608113823447514,offcorss,155,2
2065699038548587523,offcorss,247,9
2066158546680997618,offcorss,398,0
2066323352973048205,offcorss,566,7
2066420403245178237,offcorss,396,9
2066870064896738698,offcorss,284,0
2067011220355940064,offcorss,207,0
2067170397354990830,offcorss,279,0
2067603399314868734,offcorss,310,3
2067723419810347138,offcorss,491,0
2067866644596554565,offcorss,262,2
2068327064369347197,offcorss,1560,17
2068455802289440898,offcorss,256,7
2068583338608649341,offcorss,299,4
2069021145034556540,offcorss,583,8
2069128762855699952,offcorss,1700,13
2069282611167807515,offcorss,2847,55
2071892349219179886,offcorss,393,2
2072040645094898357,offcorss,588,7
2072222286358608623,offcorss,270,1
2072652746519914340,offcorss,343,1
2072796461821427672,offcorss,310,3
2072942313785465063,offcorss,258,0
2073399132479673813,offcorss,245,1
2073496284967108094,offcorss,345,0
2073657953148149066,offcorss,288,0
2074089055314681383,offcorss,1261,9
2074184348332059059,offcorss,369,0
2074355987624246323,offcorss,463,4
2074847206129343133,offcorss,671,20
2074954874399750530,offcorss,376,0
2075097819048163503,offcorss,255,3
2075513143090454092,offcorss,238,2
2075633912529795913,offcorss,183,1
2075839295633775960,offcorss,263,0
2076268085640081897,offcorss,206,1
2076400322809357218,offcorss,969,8
2076511903408889633,offcorss,355,4
2077003692213498499,offcorss,260,0
2077113658493088671,offcorss,161,0
2077263059055618575,offcorss,256,3
2077717660843354593,offcorss,234,0
2077863943384898209,offcorss,706,11
2077989436533268540,offcorss,221,0
2078488196681593291,offcorss,310,4
2078563213218482098,offcorss,208,4
2078714199304125943,offcorss,238,0
2079198165127157100,offcorss,263,2
2079294712544269015,offcorss,672,6
2079468740466838630,offcorss,1142,5
2079877659261458417,offcorss,480,0
2079997654137310816,offcorss,247,0
2080148653184264164,offcorss,223,0
2080625597575233010,offcorss,164,0
2080798108845631228,offcorss,288,3
2080905814655032413,offcorss,435,3
2081387801698126979,offcorss,296,2
2081509934076019052,offcorss,373,11
2081613091104020620,offcorss,1762,30
2082775960294075399,offcorss,182,0
2082881769104657696,offcorss,184,0
2083047755807056509,offcorss,317,3
2083541374779522674,offcorss,206,0
2083683668337799789,offcorss,267,0
2083791430979817273,offcorss,216,2
2084229461222234496,offcorss,426,5
2084348573416001142,offcorss,280,0
2084538231982760238,offcorss,448,6
2084970212730302748,offcorss,244,2
2085111215500032836,offcorss,209,0
2085248261346328579,offcorss,560,15
2085702362249257247,offcorss,303,2
2085845681600011524,offcorss,880,14
2085978736054563250,offcorss,363,1
2086437975617431674,offcorss,571,20
2086561090485745505,offcorss,832,12
2086687574923883729,offcorss,225,2
2087149328661307950,offcorss,929,10
2087366541649576756,offcorss,179,2
2087455122766342106,offcorss,371,5
2087849426600255393,offcorss,376,5
2087974381049308356,offcorss,200,0
2088152014756186775,offcorss,274,1
2088595320334124348,offcorss,363,6
2088728141686050597,offcorss,278,2
2088884615892690950,offcorss,442,7
2089347699836929523,offcorss,667,12
2089480193638179850,offcorss,254,2
2089600948497363912,offcorss,895,11
2090038859814624271,offcorss,314,4
2090172217325167610,offcorss,1364,27
2090306835776857599,offcorss,500,15
2090763626293029377,offcorss,583,11
2090900534542113475,offcorss,340,6
2091051605050719223,offcorss,552,10
2091488444378401671,offcorss,548,16
2091636995000350686,offcorss,374,6
2091760190214062581,offcorss,336,5
2092226907105913937,offcorss,202,0
2092364243996066964,offcorss,244,2
2092505683417102693,offcorss,496,5
2092985820362164538,offcorss,397,2
2093122592462079572,offcorss,227,0
2093230596821954019,offcorss,232,0
2093700856918479185,offcorss,185,2
2093783550097548606,offcorss,326,4
2093934549099864786,offcorss,158,0
2094375089382249071,offcorss,125,1
2094493215613607049,offcorss,165,0
2094675786988437082,offcorss,237,0
2095113692634719709,offcorss,222,2
2095233069389108212,offcorss,333,1
2095385164473414715,offcorss,351,0
2095842901476770714,offcorss,220,2
2095957914939272082,offcorss,516,4
2096109760478518542,offcorss,164,2
2096546748419669334,offcorss,1781,20
2096670304562514722,offcorss,413,0
2096803411564390377,offcorss,384,4
2097325940648406294,offcorss,381,4
2097407424096054164,offcorss,405,4
2097575547168956603,offcorss,486,9
2097996271293823065,offcorss,741,1
2098108525783683574,offcorss,279,4
2098252964754643835,offcorss,833,9
2098736767896912570,offcorss,211,1
2098862654084630103,offcorss,289,7
2099010052874564366,offcorss,172,1
2099472679681406998,offcorss,434,8
2099597817135637758,offcorss,546,0
2099722252127812115,offcorss,246,1
2100201199357441447,offcorss,689,6
2100337585347718522,offcorss,235,3
2100458195696695166,offcorss,245,1
2100910497184765149,offcorss,412,6
2101043345195257440,offcorss,257,1
2101182277229670761,offcorss,574,12
2101620135588509696,offcorss,864,15
2101782250143891695,offcorss,301,3
2101891926488586851,offcorss,996,7
2102374643767632813,offcorss,247,3
2102480830266244662,offcorss,225,1
2102631791798447819,offcorss,263,0
2103101869140080301,offcorss,371,5
2103221339317857193,offcorss,233,3
2103387148283500088,offcorss,257,10
2103815691647798076,offcorss,251,2
2103930530668815428,offcorss,418,14
2104103231621528697,offcorss,377,0
2104522472061610209,offcorss,857,2
2104640067553541502,offcorss,137,0
2105238546725868269,offcorss,933,15
2105348476858404178,offcorss,224,2
2105457861597267381,offcorss,634,10
2105878670723759430,offcorss,279,2
2105988532749169382,offcorss,193,0
2106102584187896906,offcorss,406,8
2106253923878581553,offcorss,224,2
2106721511565908519,offcorss,275,2
2106829462766254279,offcorss,298,32
2106980480351993645,offcorss,767,32
2107531590136676400,offcorss,152,0
2107645896866887430,offcorss,168,0
2107744848282752376,offcorss,414,9
2108171414376556292,offcorss,264,0
2108290298433785717,offcorss,270,1
2108414961882296377,offcorss,324,1
2108897588522458103,offcorss,268,1
2109003795957683227,offcorss,553,76
2109155501602025210,offcorss,181,0
2109632230632445648,offcorss,164,2
2109744762483373866,offcorss,180,1
2109895249689950526,offcorss,203,0
2110378288085877525,offcorss,130,0
2110453447976162816,offcorss,274,5
2110604359956839514,offcorss,129,0
2111050996859614989,offcorss,207,2
2111163025169185784,offcorss,166,3
2111316811194326048,offcorss,180,0
2111785967928895152,offcorss,576,3
2111911223352080576,offcorss,154,0
2112055727946104227,offcorss,686,2
2112561007335271667,offcorss,2352,41
2112672472020841312,offcorss,1098,16
2112827075475570183,offcorss,613,3
2113245369605230922,offcorss,195,2
2113352484010291658,offcorss,617,7
2113488548900293796,offcorss,227,2
2113956440289726167,offcorss,484,2
2114085531486689774,offcorss,438,12
2114234035156754700,offcorss,1168,36
2114666812310085688,offcorss,392,5
2114798839495732159,offcorss,329,5
2114922780189042001,offcorss,584,9
2115551233930320002,offcorss,857,16
2115677761116005812,offcorss,1940,38
2116100629200997787,offcorss,494,11
2116246450480184860,offcorss,340,2
2116349615217251035,offcorss,525,8
2116441074280947383,offcorss,389,10
2116857985925659857,offcorss,1002,6
2116975069703814928,offcorss,233,2
2117122008780975889,offcorss,552,8
2117581177594066147,offcorss,781,6
2117716031413592826,offcorss,1466,74
2117852100591340965,offcorss,943,11
2118381466727351042,offcorss,384,11
2118490873863676354,offcorss,1628,25
2118678874363474327,offcorss,786,8
2119050310072488523,offcorss,489,4
2119171738411263835,offcorss,470,0
2119310565461285297,offcorss,644,6
2119789953386719991,offcorss,1270,24
2119891077066294261,offcorss,385,10
2120022722595302333,offcorss,369,8
2120467752720240670,offcorss,422,17
2120678437022439734,offcorss,653,5
2120770988953873677,offcorss,386,2
2121216581518060877,offcorss,183,2
2121333653526866760,offcorss,408,3
2121477134089980074,offcorss,238,0
2121927597969246809,offcorss,280,1
2122077849086916321,offcorss,231,0
2122223553965038925,offcorss,1103,5
2122671731831131556,offcorss,260,0
2122783536129663147,offcorss,303,0
2123037141952754538,offcorss,611,11
2123389210664559890,offcorss,598,6
2123540967453450022,offcorss,337,1
2123655014865838824,offcorss,325,1
2124101857642890031,offcorss,104,0
2124240945410894477,offcorss,315,1
2124386992435048942,offcorss,121,0
2124828138591662593,offcorss,407,18
2124949433980104598,offcorss,353,0
2125119820995047989,offcorss,331,4
2125553072650164083,offcorss,274,2
2125689739885357179,offcorss,179,1
2125816284553439368,offcorss,239,0
2126282386811145511,offcorss,234,4
2126413369539713621,offcorss,490,1
2126550886750506579,offcorss,577,8
2127024377333430772,offcorss,223,1
2127178912504802918,offcorss,264,6
2127282495531335453,offcorss,198,0
2127707756131326276,offcorss,328,0
2127867534174527005,offcorss,217,0
2127992220128465190,offcorss,480,3
2128459520740741891,offcorss,219,0
2128585834227368027,offcorss,202,0
2128750521988638576,offcorss,283,0
2129165251009990365,offcorss,286,2
2129328009517156985,offcorss,126,0
2129446942647725542,offcorss,449,7
2129904795699216418,offcorss,279,0
2130032619932163212,offcorss,199,1
2130174897787235099,offcorss,235,2
2130627389528466417,offcorss,405,4
2130753152554437007,offcorss,224,4
2130897884052096118,offcorss,304,1
2131338174160215598,offcorss,286,0
2131463822454992616,offcorss,175,2
2131608205867851499,offcorss,309,1
2132080122487684556,offcorss,281,0
2132197660768932690,offcorss,141,0
2132353859904778120,offcorss,256,2
2132786148824393433,offcorss,457,2
2132916839369185247,offcorss,1047,15
2133071880877126895,offcorss,386,0
2133525925140087690,offcorss,731,8
2133668569988093558,offcorss,790,9
2133824686538005091,offcorss,336,2
2134256794976668085,offcorss,198,0
2134369583057759895,offcorss,510,6
2134524058393164499,offcorss,726,2
2134974921344606828,offcorss,203,0
2135098832240515571,offcorss,926,3
2135239712218017629,offcorss,654,4
2135686498673784441,offcorss,277,0
2135806132420964991,offcorss,668,7
2135960316336300129,offcorss,329,2
2136427337800762488,offcorss,245,0
2136556087121172631,offcorss,823,12
2136697025390819075,offcorss,326,4
2137139353603617124,offcorss,323,4
2137265619250029351,offcorss,638,0
2137405945797925556,offcorss,175,0
2137874034989663414,offcorss,200,2
2137998581214169123,offcorss,357,4
2138147385825432809,offcorss,426,4
2138598839049680671,offcorss,564,0
2138704504707040319,offcorss,152,1
2138855481338746888,offcorss,536,3
2139323589723063081,offcorss,356,2
2139507460611095132,offcorss,270,6
2139595366680808499,offcorss,217,8
2140050919240163239,offcorss,332,9
2140154052051135273,offcorss,1451,38
2140306923970253028,offcorss,210,11
2140773144567114514,offcorss,236,1
2140893934029936168,offcorss,326,5
2141044925633918266,offcorss,264,5
2141482807153831821,offcorss,336,19
2141632223488502808,offcorss,163,8
2141754608060532941,offcorss,178,4
2142222683662730904,offcorss,246,0
2142343480498787922,offcorss,534,5
2142496410049580419,offcorss,624,17
2142932350774572188,offcorss,1023,37
2143053135782302026,offcorss,140,0
2143204128083825569,offcorss,700,49
2143672239042809227,offcorss,754,6
2143793045241321736,offcorss,442,5
2143944027132530980,offcorss,518,6
2144381912563387250,offcorss,389,12
2144502684124066968,offcorss,184,4
2144653694285407061,offcorss,138,4
2145121779751840888,offcorss,349,4
2145242573895395531,offcorss,223,8
2145393581437955269,offcorss,222,5
2145831484812875189,offcorss,235,4
2146064920209532495,offcorss,246,6
2146133151729417920,offcorss,314,11
2146571348837779193,offcorss,225,2
2146699949814719918,offcorss,421,18
2146843114840890886,offcorss,236,0
2147281008685106491,offcorss,153,0
2147401816316801122,offcorss,205,1
2147552814230838208,offcorss,159,0
2148066170111131281,offcorss,342,7
2148186978214343201,offcorss,248,0
2148292678953915214,offcorss,579,10
2148730561966064524,offcorss,504,5
2148851362293507377,offcorss,326,0
2149002335384652946,offcorss,333,10
2149470452208461154,offcorss,2395,40
2149656763896306671,offcorss,237,0
2149757338189747656,offcorss,564,6
2150180105401240125,offcorss,355,0
2150316019969468793,offcorss,243,4
2150453682713169793,offcorss,152,0
2150919994719037395,offcorss,266,3
2151040786387499153,offcorss,601,4
2151197692004302445,offcorss,171,3
2151629656317754391,offcorss,257,46
2151750228641127416,offcorss,153,34
2151901445155035938,offcorss,111,0
2152377084136124833,offcorss,608,2
2152521019704709063,offcorss,1221,1
