post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id
1543508465680204,"¡Días de sol, días de felices! 🌞 *Disponible en las tallas 2-12x #Polito #Kids #Vacaciones #VacacionesPolito #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños","¡Días de sol, días de felices! 🌞 *Disponible en las tallas 2-12x #Polito #Kids #Vacaciones #VacacionesPolito #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños",,2017-06-10 10:00:00,https://scontent.feoh1-1.fna.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/18954742_1543508465680204_2884917836172102485_o.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=vTQqBQFEpiAAX84Gplg&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=32b97144d92fa6e59957df78d7ef080d&oe=5F93DB55,,,,14,0,0,,,121398184557913
1543507632346954,"Este sábado ven a nuestras tiendas y hagamos juntos un regalo para papá 👨👦👶💕 Recuerda que tenemos cupos limitados, entonces te esperamos a las 4:00 p.m. *Válido en todas nuestras tiendas, excepto en outlets *La actividad se realizará durante las 4 y las 6 de la tarde *Tenemos cupos limitados","Este sábado ven a nuestras tiendas y hagamos juntos un regalo para papá 👨👦👶💕 Recuerda que tenemos cupos limitados, entonces te esperamos a las 4:00 p.m. *Válido en todas nuestras tiendas, excepto en outlets *La actividad se realizará durante las 4 y las 6 de la tarde *Tenemos cupos limitados",,2017-06-09 18:30:00,https://scontent.feoh1-1.fna.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/18954677_1543507632346954_2639039175937817234_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=XHedGOD6igAAX_wukzq&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=da78ec16f8b362ee5d3f64b77a9d2151&oe=5F95EF28,,,,29,0,0,,,121398184557913
1543507355680315,"Tenemos opciones para todos los días, ¿qué tal esta para las noches más calurosas? ☁💤 ¡A nosotros nos encanta! *Disponible en tallas 4-12x #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche","Tenemos opciones para todos los días, ¿qué tal esta para las noches más calurosas? ☁💤 ¡A nosotros nos encanta! *Disponible en tallas 4-12x #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche",,2017-06-09 17:00:00,https://scontent.feoh1-1.fna.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/19024870_1543507355680315_7762624897616318571_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=T4xhd-ePNCIAX-1FmKR&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=bf4f4ec0a6e75fe5cb7a86345cf6ad37&oe=5F9574A5,,,,68,0,0,,,121398184557913
1543506549013729,¡Modo vacaciones! 🌞 Disfruta junto a Polito de los días más divertidos. Encuentra en nuestras tiendas prendas perfectas para este tiempo de descanso. *Disponibles en tallas 2-12x #Polito #Kids #Vacaciones #VacacionesPolito #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños,¡Modo vacaciones! 🌞 Disfruta junto a Polito de los días más divertidos. Encuentra en nuestras tiendas prendas perfectas para este tiempo de descanso. *Disponibles en tallas 2-12x #Polito #Kids #Vacaciones #VacacionesPolito #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños,,2017-06-09 15:48:27,https://scontent.feoh1-1.fna.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/18955043_1543506549013729_8132553985657127536_o.jpg?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=UUBDEmXJM_MAX-L2PS1&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=b11392c0bce2fad3c4205ea5da618f92&oe=5F93DB8A,,,,22,0,0,,,121398184557913
1541138105917240,¡Que lleguen ya las vacaciones para poder estar en la cama toda la mañana! #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche,¡Que lleguen ya las vacaciones para poder estar en la cama toda la mañana! #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche,,2017-06-08 17:00:00,,https://video.feoh1-1.fna.fbcdn.net/v/t42.1790-2/18999520_1867450296846473_8959143673119899648_n.mp4?_nc_cat=108&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=vv34utC7Q3QAX_XntJy&_nc_ht=video.feoh1-1.fna&oh=67045df5ec4dc16fdfff050ff2d5a753&oe=5F6FCC82,,1541138105917240.0,18,0,2,https://facebook.com/watch?v=1541138105917240,,121398184557913
1541137379250646,"¡Azul como el cielo, azul como el mar, azul como la diversión! 🌊💙 En estas vacaciones disfruta al máximo al lado de Polito. *Disponibles en tallas 2-12x #Polito #Kids #Vacaciones #VacacionesPolito #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Color #Diversión #Aventura","¡Azul como el cielo, azul como el mar, azul como la diversión! 🌊💙 En estas vacaciones disfruta al máximo al lado de Polito. *Disponibles en tallas 2-12x #Polito #Kids #Vacaciones #VacacionesPolito #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Color #Diversión #Aventura",,2017-06-08 16:00:00,https://scontent.feoh1-1.fna.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/18922820_1541137379250646_7192540042350097144_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=nVG_HjR9fVkAX8Ti7PF&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=a48186de2469d52d6e399ebff2be69c0&oe=5F95D32A,,,,7,0,0,,,121398184557913
1541137722583945,"¡Música, color y diversión! Los estampados de nuestras pijamas te contagiarán de alegría. #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche #Estampado","¡Música, color y diversión! Los estampados de nuestras pijamas te contagiarán de alegría. #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche #Estampado",,2017-06-08 12:00:00,,https://video.feoh1-1.fna.fbcdn.net/v/t42.1790-2/19011032_234944760332585_867072387173056512_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=hKKKOEhMLXcAX9csMP0&_nc_ht=video.feoh1-1.fna&oh=a0dcd34502d01d3bc5a2c0d8ffd9e557&oe=5F6FD5DD,,1541137722583945.0,8,0,0,https://facebook.com/watch?v=1541137722583945,,121398184557913
1541136539250730,¡Fiesta de Pijamas! Visita nuestras tiendas y llévate a casa tus favoritas. #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche #Color #Detalles,¡Fiesta de Pijamas! Visita nuestras tiendas y llévate a casa tus favoritas. #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche #Color #Detalles,,2017-06-07 19:30:00,,https://video.feoh1-1.fna.fbcdn.net/v/t42.1790-2/19012280_1524001730967275_7312549672504000512_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=7_oZtBJwz7EAX_J4ZGQ&_nc_ht=video.feoh1-1.fna&oh=10d2478470b31bc2de8cc26530728c5f&oe=5F6FD64C,,1541136539250730.0,21,0,0,https://facebook.com/watch?v=1541136539250730,,121398184557913
1541136192584098,Dinosaurios que acompañarán todas tus aventuras en la ☁ noche ☁ ¡Encuentra esta y otras pijamas en nuestras tiendas! *Disponible en tallas 4-12x #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche,Dinosaurios que acompañarán todas tus aventuras en la ☁ noche ☁ ¡Encuentra esta y otras pijamas en nuestras tiendas! *Disponible en tallas 4-12x #Polito #Kids #Pijama #PijamaparaNiños #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños #Sueños #Noche,,2017-06-07 18:22:00,https://scontent.feoh1-1.fna.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/18891737_1541136192584098_514734711730255898_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=7i6ZyljdEDIAX9V9c8z&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=7848c238262c5e5d0c87fec66ce5fadd&oe=5F9433BF,,,,34,1,0,,,121398184557913
1541135412584176,Encuentra en nuestras tiendas salidas de baño con todo el estilo tropical de la temporada 🌸🍉 *Disponible en las tallas 2-12x #Polito #Kids #Vacaciones #VacacionesPolito #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños,Encuentra en nuestras tiendas salidas de baño con todo el estilo tropical de la temporada 🌸🍉 *Disponible en las tallas 2-12x #Polito #Kids #Vacaciones #VacacionesPolito #ModaInfantil #FashionKids #CompraPolito #RopaparaNiños,,2017-06-07 17:09:01,https://scontent.feoh1-1.fna.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/19023659_1541135412584176_7418398029419662165_o.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=ppJPY86xg7wAX9nSOPK&_nc_ht=scontent.feoh1-1.fna&tp=14&oh=2564c58799dd1dd7fc5ae0c54990abed&oe=5F961E8A,,,,82,0,0,,,121398184557913
